2017-09-04 18:12:51 INFO  RequestMappingHandlerMapping:543 - Mapped "{[/hello],methods=[GET],produces=[application/json]}" onto public com.exprop.domain.Hello com.exprop.controller.MainController.hello()
2017-09-04 18:12:51 INFO  RequestMappingHandlerAdapter:534 - Looking for @ControllerAdvice: WebApplicationContext for namespace 'action-servlet': startup date [Mon Sep 04 18:12:41 KST 2017]; parent: Root WebApplicationContext
2017-09-04 18:12:51 INFO  DispatcherServlet:508 - FrameworkServlet 'action': initialization completed in 10246 ms
2017-09-04 18:29:00 INFO  ContextLoader:305 - Root WebApplicationContext: initialization started
2017-09-04 18:29:01 INFO  XmlWebApplicationContext:582 - Refreshing Root WebApplicationContext: startup date [Mon Sep 04 18:29:01 KST 2017]; root of context hierarchy
2017-09-04 18:29:01 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from ServletContext resource [/WEB-INF/applicationContext.xml]
2017-09-04 18:29:02 INFO  ContextLoader:345 - Root WebApplicationContext: initialization completed in 2330 ms
2017-09-04 18:29:03 INFO  DispatcherServlet:489 - FrameworkServlet 'action': initialization started
2017-09-04 18:29:03 INFO  XmlWebApplicationContext:582 - Refreshing WebApplicationContext for namespace 'action-servlet': startup date [Mon Sep 04 18:29:03 KST 2017]; parent: Root WebApplicationContext
2017-09-04 18:29:03 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from file [C:\Project\tutorial\spring-sample\exprop\target\exprop\WEB-INF\classes\spring\dispatcher-servlet.xml]
2017-09-04 18:29:05 INFO  DefaultListableBeanFactory:821 - Overriding bean definition for bean 'mvcContentNegotiationManager' with a different definition: replacing [Root bean: class [org.springframework.web.accept.ContentNegotiationManagerFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.web.servlet.config.annotation.DelegatingWebMvcConfiguration; factoryMethodName=mvcContentNegotiationManager; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/web/servlet/config/annotation/DelegatingWebMvcConfiguration.class]]
2017-09-04 18:29:05 INFO  ConfigurationClassBeanDefinitionReader:298 - Skipping bean definition for [BeanMethod:name=mvcUriComponentsContributor,declaringClass=org.springframework.web.servlet.config.annotation.WebMvcConfigurationSupport]: a definition for bean 'mvcUriComponentsContributor' already exists. This top-level bean definition is considered as an override.
2017-09-04 18:29:06 INFO  AutowiredAnnotationBeanPostProcessor:155 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-09-04 18:29:08 INFO  RequestMappingHandlerMapping:543 - Mapped "{[/world],methods=[GET],produces=[application/json]}" onto public com.exprop.domain.World com.exprop.controller.MainController.world()
2017-09-04 18:29:08 INFO  RequestMappingHandlerMapping:543 - Mapped "{[/hello],methods=[GET],produces=[application/json]}" onto public com.exprop.domain.Hello com.exprop.controller.MainController.hello()
2017-09-04 18:29:10 INFO  RequestMappingHandlerAdapter:534 - Looking for @ControllerAdvice: WebApplicationContext for namespace 'action-servlet': startup date [Mon Sep 04 18:29:03 KST 2017]; parent: Root WebApplicationContext
2017-09-04 18:29:10 INFO  RequestMappingHandlerAdapter:534 - Looking for @ControllerAdvice: WebApplicationContext for namespace 'action-servlet': startup date [Mon Sep 04 18:29:03 KST 2017]; parent: Root WebApplicationContext
2017-09-04 18:29:11 INFO  RequestMappingHandlerMapping:543 - Mapped "{[/world],methods=[GET],produces=[application/json]}" onto public com.exprop.domain.World com.exprop.controller.MainController.world()
2017-09-04 18:29:11 INFO  RequestMappingHandlerMapping:543 - Mapped "{[/hello],methods=[GET],produces=[application/json]}" onto public com.exprop.domain.Hello com.exprop.controller.MainController.hello()
2017-09-04 18:29:11 INFO  RequestMappingHandlerAdapter:534 - Looking for @ControllerAdvice: WebApplicationContext for namespace 'action-servlet': startup date [Mon Sep 04 18:29:03 KST 2017]; parent: Root WebApplicationContext
2017-09-04 18:29:11 INFO  DispatcherServlet:508 - FrameworkServlet 'action': initialization completed in 8472 ms
2017-09-04 18:33:01 INFO  ContextLoader:305 - Root WebApplicationContext: initialization started
2017-09-04 18:33:02 INFO  XmlWebApplicationContext:582 - Refreshing Root WebApplicationContext: startup date [Mon Sep 04 18:33:02 KST 2017]; root of context hierarchy
2017-09-04 18:33:03 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from ServletContext resource [/WEB-INF/applicationContext.xml]
2017-09-04 18:33:03 INFO  ContextLoader:345 - Root WebApplicationContext: initialization completed in 2373 ms
2017-09-04 18:33:04 INFO  DispatcherServlet:489 - FrameworkServlet 'action': initialization started
2017-09-04 18:33:04 INFO  XmlWebApplicationContext:582 - Refreshing WebApplicationContext for namespace 'action-servlet': startup date [Mon Sep 04 18:33:04 KST 2017]; parent: Root WebApplicationContext
2017-09-04 18:33:04 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from file [C:\Project\tutorial\spring-sample\exprop\target\exprop\WEB-INF\classes\spring\dispatcher-servlet.xml]
2017-09-04 18:33:07 INFO  DefaultListableBeanFactory:821 - Overriding bean definition for bean 'mvcContentNegotiationManager' with a different definition: replacing [Root bean: class [org.springframework.web.accept.ContentNegotiationManagerFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.web.servlet.config.annotation.DelegatingWebMvcConfiguration; factoryMethodName=mvcContentNegotiationManager; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/web/servlet/config/annotation/DelegatingWebMvcConfiguration.class]]
2017-09-04 18:33:07 INFO  ConfigurationClassBeanDefinitionReader:298 - Skipping bean definition for [BeanMethod:name=mvcUriComponentsContributor,declaringClass=org.springframework.web.servlet.config.annotation.WebMvcConfigurationSupport]: a definition for bean 'mvcUriComponentsContributor' already exists. This top-level bean definition is considered as an override.
2017-09-04 18:33:07 INFO  AutowiredAnnotationBeanPostProcessor:155 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-09-04 18:33:12 INFO  RequestMappingHandlerMapping:543 - Mapped "{[/world],methods=[GET],produces=[application/json]}" onto public com.exprop.domain.World com.exprop.controller.MainController.world()
2017-09-04 18:33:12 INFO  RequestMappingHandlerMapping:543 - Mapped "{[/hello],methods=[GET],produces=[application/json]}" onto public com.exprop.domain.Hello com.exprop.controller.MainController.hello()
2017-09-04 18:33:15 INFO  RequestMappingHandlerAdapter:534 - Looking for @ControllerAdvice: WebApplicationContext for namespace 'action-servlet': startup date [Mon Sep 04 18:33:04 KST 2017]; parent: Root WebApplicationContext
2017-09-04 18:33:15 INFO  RequestMappingHandlerAdapter:534 - Looking for @ControllerAdvice: WebApplicationContext for namespace 'action-servlet': startup date [Mon Sep 04 18:33:04 KST 2017]; parent: Root WebApplicationContext
2017-09-04 18:33:15 INFO  RequestMappingHandlerMapping:543 - Mapped "{[/world],methods=[GET],produces=[application/json]}" onto public com.exprop.domain.World com.exprop.controller.MainController.world()
2017-09-04 18:33:15 INFO  RequestMappingHandlerMapping:543 - Mapped "{[/hello],methods=[GET],produces=[application/json]}" onto public com.exprop.domain.Hello com.exprop.controller.MainController.hello()
2017-09-04 18:33:15 INFO  RequestMappingHandlerAdapter:534 - Looking for @ControllerAdvice: WebApplicationContext for namespace 'action-servlet': startup date [Mon Sep 04 18:33:04 KST 2017]; parent: Root WebApplicationContext
2017-09-04 18:33:16 INFO  DispatcherServlet:508 - FrameworkServlet 'action': initialization completed in 11853 ms
2017-09-04 18:38:06 INFO  ContextLoader:305 - Root WebApplicationContext: initialization started
2017-09-04 18:38:07 INFO  XmlWebApplicationContext:582 - Refreshing Root WebApplicationContext: startup date [Mon Sep 04 18:38:07 KST 2017]; root of context hierarchy
2017-09-04 18:38:08 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from ServletContext resource [/WEB-INF/applicationContext.xml]
2017-09-04 18:38:09 INFO  ContextLoader:345 - Root WebApplicationContext: initialization completed in 2560 ms
2017-09-04 18:38:09 INFO  DispatcherServlet:489 - FrameworkServlet 'action': initialization started
2017-09-04 18:38:09 INFO  XmlWebApplicationContext:582 - Refreshing WebApplicationContext for namespace 'action-servlet': startup date [Mon Sep 04 18:38:09 KST 2017]; parent: Root WebApplicationContext
2017-09-04 18:38:10 INFO  XmlBeanDefinitionReader:317 - Loading XML bean definitions from file [C:\Project\tutorial\spring-sample\exprop\target\exprop\WEB-INF\classes\spring\dispatcher-servlet.xml]
2017-09-04 18:38:12 INFO  DefaultListableBeanFactory:821 - Overriding bean definition for bean 'mvcContentNegotiationManager' with a different definition: replacing [Root bean: class [org.springframework.web.accept.ContentNegotiationManagerFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.web.servlet.config.annotation.DelegatingWebMvcConfiguration; factoryMethodName=mvcContentNegotiationManager; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/web/servlet/config/annotation/DelegatingWebMvcConfiguration.class]]
2017-09-04 18:38:12 INFO  ConfigurationClassBeanDefinitionReader:298 - Skipping bean definition for [BeanMethod:name=mvcUriComponentsContributor,declaringClass=org.springframework.web.servlet.config.annotation.WebMvcConfigurationSupport]: a definition for bean 'mvcUriComponentsContributor' already exists. This top-level bean definition is considered as an override.
2017-09-04 18:38:13 INFO  AutowiredAnnotationBeanPostProcessor:155 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-09-04 18:38:23 INFO  RequestMappingHandlerMapping:543 - Mapped "{[/world],methods=[GET],produces=[application/json]}" onto public com.exprop.domain.World com.exprop.controller.MainController.world()
2017-09-04 18:38:23 INFO  RequestMappingHandlerMapping:543 - Mapped "{[/hello],methods=[GET],produces=[application/json]}" onto public com.exprop.domain.Hello com.exprop.controller.MainController.hello()
2017-09-04 18:38:26 INFO  RequestMappingHandlerAdapter:534 - Looking for @ControllerAdvice: WebApplicationContext for namespace 'action-servlet': startup date [Mon Sep 04 18:38:09 KST 2017]; parent: Root WebApplicationContext
2017-09-04 18:38:26 INFO  RequestMappingHandlerAdapter:534 - Looking for @ControllerAdvice: WebApplicationContext for namespace 'action-servlet': startup date [Mon Sep 04 18:38:09 KST 2017]; parent: Root WebApplicationContext
2017-09-04 18:38:27 INFO  RequestMappingHandlerMapping:543 - Mapped "{[/world],methods=[GET],produces=[application/json]}" onto public com.exprop.domain.World com.exprop.controller.MainController.world()
2017-09-04 18:38:27 INFO  RequestMappingHandlerMapping:543 - Mapped "{[/hello],methods=[GET],produces=[application/json]}" onto public com.exprop.domain.Hello com.exprop.controller.MainController.hello()
2017-09-04 18:38:27 INFO  RequestMappingHandlerAdapter:534 - Looking for @ControllerAdvice: WebApplicationContext for namespace 'action-servlet': startup date [Mon Sep 04 18:38:09 KST 2017]; parent: Root WebApplicationContext
2017-09-04 18:38:27 INFO  DispatcherServlet:508 - FrameworkServlet 'action': initialization completed in 17787 ms
